EAN;TITRE UK;REF BEMS;GENRE;PVP;PA;STOCK;RELEASE DATE;DATE IN;PEGI;POIDS;EAN ASSOC;IMG2;IMG3;IMG4;IMG5;IMG6;DESC UK;LICENCE;FABRICANT;INTRASTAT;PAYS ORIGINE;TAILLE 
3664794621796;NARUTO - Kakashi - Men Christmas Sweaters (L);227965;L'uomo;39.99;19.90;5;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGMENARUTPU026/m/FIGMENARUTPU026_2.png;;;;;;Naruto;Cotton Division;6110-2091;CN;L 
3664794621789;NARUTO - Kakashi - Men Christmas Sweaters (M);227964;L'uomo;39.99;19.90;8;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGMENARUTPU026/m/FIGMENARUTPU026_2.png;;;;;;Naruto;Cotton Division;6110-2091;CN;M 
3664794621772;NARUTO - Kakashi - Men Christmas Sweaters (S);227963;L'uomo;39.99;19.90;8;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGMENARUTPU026/m/FIGMENARUTPU026_2.png;;;;;;Naruto;Cotton Division;6110-2091;CN;S 
3664794621765;NARUTO - Kakashi - Men Christmas Sweaters (XS);227962;L'uomo;39.99;19.90;8;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGMENARUTPU026/m/FIGMENARUTPU026_2.png;;;;;;Naruto;Cotton Division;6110-2091;CN;XS 
3664794621901;NARUTO - Ramen Ichiraku - Men Christmas Sweaters (XL);227961;L'uomo;39.99;19.90;4;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGMENASHIPU011/m/FIGMENASHIPU011_2.png;;;;;;Naruto;Cotton Division;6110-2091;CN;XL 
3664794621895;NARUTO - Ramen Ichiraku - Men Christmas Sweaters (L);227960;L'uomo;39.99;19.90;5;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGMENASHIPU011/m/FIGMENASHIPU011_2.png;;;;;;Naruto;Cotton Division;6110-2091;CN;L 
3664794621888;NARUTO - Ramen Ichiraku - Men Christmas Sweaters (M);227959;L'uomo;39.99;19.90;6;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGMENASHIPU011/m/FIGMENASHIPU011_2.png;;;;;;Naruto;Cotton Division;6110-2091;CN;M 
3664794621871;NARUTO - Ramen Ichiraku - Men Christmas Sweaters (S);227958;L'uomo;39.99;19.90;7;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGMENASHIPU011/m/FIGMENASHIPU011_2.png;;;;;;Naruto;Cotton Division;6110-2091;CN;S 
3664794621864;NARUTO - Ramen Ichiraku - Men Christmas Sweaters (XS);227957;L'uomo;39.99;19.90;9;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGMENASHIPU011/m/FIGMENASHIPU011_2.png;;;;;;Naruto;Cotton Division;6110-2091;CN;XS 
3664794621840;NARUTO SHIPPUDEN - Akatsuki - Men Christmas Sweaters (L);227955;L'uomo;39.99;19.90;4;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGMENASHIPU010/m/FIGMENASHIPU010_2.png;;;;;;Naruto;Cotton Division;6110-2091;CN;L 
3664794621833;NARUTO SHIPPUDEN - Akatsuki - Men Christmas Sweaters (M);227954;L'uomo;39.99;19.90;5;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGMENASHIPU010/m/FIGMENASHIPU010_2.png;;;;;;Naruto;Cotton Division;6110-2091;CN;M 
3664794621826;NARUTO SHIPPUDEN - Akatsuki - Men Christmas Sweaters (S);227953;L'uomo;39.99;19.90;4;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGMENASHIPU010/m/FIGMENASHIPU010_2.png;;;;;;Naruto;Cotton Division;6110-2091;CN;S 
3664794622052;THE MANDALORIAN - Grogu - Men Christmas Sweaters (XXL);227947;L'uomo;39.99;19.90;1;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGMESWMANPU016/m/FIGMESWMANPU016_2.png;;;;;;Star Wars;Cotton Division;6110-2091;CN;XXL 
3664794622045;THE MANDALORIAN - Grogu - Men Christmas Sweaters (XL);227946;L'uomo;39.99;19.90;4;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGMESWMANPU016/m/FIGMESWMANPU016_2.png;;;;;;Star Wars;Cotton Division;6110-2091;CN;XL 
3664794622038;THE MANDALORIAN - Grogu - Men Christmas Sweaters (L);227945;L'uomo;39.99;19.90;1;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGMESWMANPU016/m/FIGMESWMANPU016_2.png;;;;;;Star Wars;Cotton Division;6110-2091;CN;L 
3664794621758;NIGHTMARE BEFORE CHRISTMAS - Jack - Men Christmas Sweaters (XXL);227942;L'uomo;39.99;19.90;4;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGMEJACKDPU004/m/FIGMEJACKDPU004_2.png;;;;;;DISNEY;Cotton Division;6110-2091;CN;XXL 
3664794621741;NIGHTMARE BEFORE CHRISTMAS - Jack - Men Christmas Sweaters (XL);227941;L'uomo;39.99;19.90;2;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGMEJACKDPU004/m/FIGMEJACKDPU004_2.png;;;;;;DISNEY;Cotton Division;6110-2091;CN;XL 
3664794622106;THE ARISTOCATS - Marie - Women Christmas Sweaters (XL);227937;La donna;39.99;19.90;2;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGWODDARISPU007/m/FIGWODDARISPU007_2.png;;;;;;DISNEY;Cotton Division;6110-2091;CN;XL 
3664794622083;THE ARISTOCATS - Marie - Women Christmas Sweaters (M);227935;La donna;39.99;19.90;3;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGWODDARISPU007/m/FIGWODDARISPU007_2.png;;;;;;DISNEY;Cotton Division;6110-2091;CN;M 
3664794622076;THE ARISTOCATS - Marie - Women Christmas Sweaters (S);227934;La donna;39.99;19.90;4;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGWODDARISPU007/m/FIGWODDARISPU007_2.png;;;;;;DISNEY;Cotton Division;6110-2091;CN;S 
3664794622069;THE ARISTOCATS - Marie - Women Christmas Sweaters (XS);227933;La donna;39.99;19.90;6;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGWODDARISPU007/m/FIGWODDARISPU007_2.png;;;;;;DISNEY;Cotton Division;6110-2091;CN;XS 
3664794633034;NARUTO - Itachi - Men Sweat-Shirt (XXL);227862;La donna;44.99;22.40;1;;20231110;0;0.486;;https://www.pro-bems.com/IMAGES/images_1/FIGMENASHISW005/m/FIGMENASHISW005_2.png;https://www.pro-bems.com/IMAGES/images_1/FIGMENASHISW005/m/FIGMENASHISW005_3.png;;;;;Naruto;Cotton Division;6110-2091;;XXL 
3664794606519;NARUTO - Kakashi Sharingan - Men Sweat-Shirt (M);227848;L'uomo;44.99;22.40;3;;20231110;0;0.486;;;;;;;;Naruto;Cotton Division;6110-2091;CN;M 
3664794606502;NARUTO - Kakashi Sharingan - Men Sweat-Shirt (S);227847;L'uomo;44.99;22.40;3;;20231110;0;0.486;;;;;;;;Naruto;Cotton Division;6110-2091;CN;S 
3664794632976;NARUTO - Kakashi Sharingan - Men Sweat-Shirt (XS);227846;L'uomo;44.99;22.40;4;;20231110;0;0.486;;;;;;;;Naruto;Cotton Division;6110-2091;CN;XS 
0889698677127;AVATAR - POP N° 534 - Aang (Glow In The Dark) + Tee (XL);227837;L'uomo;29.99;16.90;4;;20231124;0;0.357;;;;;;;;Avatar;Funko Tees;6109-1000;VN;XL 
0889698677042;AVATAR - POP N° 534 - Aang (Glow In The Dark) + Tee (L);227836;L'uomo;29.99;16.90;2;;20231124;0;0.357;;;;;;;;Avatar;Funko Tees;6109-1000;VN;L 
0889698716567;AVATAR - POP N° 534 - Aang (Glow In The Dark) + Tee (M);227835;L'uomo;29.99;16.90;9;;20231124;0;0.357;;;;;;;;Avatar;Funko Tees;6109-1000;VN;M 
0889698716550;AVATAR - POP N° 534 - Aang (Glow In The Dark) + Tee (S);227834;L'uomo;29.99;16.90;6;;20231124;0;0.357;;;;;;;;Avatar;Funko Tees;6109-1000;VN;S 
0889698710053;DEMON SLAYER - POP N° 1307 - Rui (Glow In The Dark) + Tee (L);227832;L'uomo;29.99;16.90;2;;20231127;0;0.357;;;;;;;;Demon Slayer;Funko Tees;6109-1000;VN;L 
0889698710046;DEMON SLAYER - POP N° 1307 - Rui (Glow In The Dark) + Tee (M);227831;L'uomo;29.99;16.90;4;;20231127;0;0.357;;;;;;;;Demon Slayer;Funko Tees;6109-1000;VN;M 
0889698710039;DEMON SLAYER - POP N° 1307 - Rui (Glow In The Dark) + Tee (S);227830;L'uomo;29.99;16.90;10;;20231127;0;0.357;;;;;;;;Demon Slayer;Funko Tees;6109-1000;VN;S 
